product,country,url,item,precio
"playstation","Argentina","https://listado.mercadolibre.com.ar/playstation-5#D[A:playstation%205]","Sony PlayStation 5 825GB Digital Edition color blanco y negro","165000 pesos"
"playstation","Bolivia","https://listado.mercadolibre.com.bo/playstation-5#D[A:playstation%205]","Ps5 Edición Digital Y Lector De Disco","6000 bolivianos"
"playstation","Brasil","https://lista.mercadolivre.com.br/playstation-5#D[A:playstation%205]","Sony PlayStation 5 825GB Digital Edition cor branco e preto","5499 reais"
"playstation","Chile","https://listado.mercadolibre.cl/playstation-5#D[A:playstation%205]","Sony PlayStation 5 825GB Standard color blanco y negro","906990 pesos"
"playstation","Colombia","https://listado.mercadolibre.com.co/playstation-5#D[A:playstation%205]","Sony PlayStation 5 825GB Standard color blanco y negro","3499900 pesos"
"playstation","Costa Rica","https://listado.mercadolibre.co.cr/playstation-5#D[A:playstation%205]","Playstation 5 Ps5 Con Lector Y 1 Juego Nuevo Mercado Gamers","615000 undefined"
"playstation","Dominicana","https://listado.mercadolibre.com.do/playstation-5#D[A:playstation%205]","Playstation 5 849-763-2838","37500 pesos"
"playstation","Ecuador","https://listado.mercadolibre.com.ec/playstation-5#D[A:playstation%205]","Ps5 Playstation 5 Disco - Digital Nueva Entrega Local !!","1099 dólares"
"playstation","Guatemala","https://listado.mercadolibre.com.gt/playstation-5#D[A:playstation%205]","En Venta Sony Playstation 5 Ps5 Disc Edition / Viene Con 2","3000 quetzal guatemaltecos"
"playstation","Honduras","https://listado.mercadolibre.com.hn/playstation-5#D[A:playstation%205]","Sony Ps5 & Ps/5 Pro Playstation 1tb Game Consoles","370 dólares"
"playstation","México","https://listado.mercadolibre.com.mx/playstation-5#D[A:playstation%205]","Sony PlayStation 5 825GB Standard color blanco y negro","13999 pesos"
"playstation","Nicaragua","https://listado.mercadolibre.com.ni/playstation-5#D[A:playstation%205]","Ps5","300 dólares"
"playstation","Panamá","https://listado.mercadolibre.com.pa/playstation-5#D[A:playstation%205]","Playstation Ps5 Digital - 825 Gb - 12m Garantia- Promo 2021","600 dólares"
"playstation","Paraguay","https://listado.mercadolibre.com.py/playstation-5#D[A:playstation%205]","Sony Playstation 5 Ps5 Console New Disc Version","350 dólares"
"playstation","Perú","https://listado.mercadolibre.com.pe/playstation-5#D[A:playstation%205]","Consola Playstation 5 Con Lector De Discos Ps5","3739 soles"
"playstation","El Salvador","https://listado.mercadolibre.com.sv/playstation-5#D[A:playstation%205]","Playstation 5 1tb","380 dólares"
"playstation","Uruguay","https://listado.mercadolibre.com.uy/playstation-5#D[A:playstation%205]","Sony PlayStation 5 825GB Digital Edition color blanco y negro","1399 dólares"
"playstation","Venezuela","https://listado.mercadolibre.com.ve/playstation-5#D[A:playstation%205]","Ps5 825 Gb Versión Con Lectora+1 Control Tienda Fisica","750 dólares"
"macbook pro","Argentina","https://listado.mercadolibre.com.ar/macbook-pro-13#D[A:macbook%20pro%2013]","Apple MacBook Pro (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial","222900 pesos"
"macbook pro","Bolivia","https://listado.mercadolibre.com.bo/macbook-pro-13#D[A:macbook%20pro%2013]","Nuevo Macbook Pro 13 Space Grey 2017 128gb","400 dólares"
"macbook pro","Brasil","https://lista.mercadolivre.com.br/macbook-pro-13#D[A:macbook%20pro%2013]","Apple Macbook Pro (13 Polegadas, Touch bar, quatro portas Thunderbolt 3, 1 TB de SSD) - Cinza-espacial","13490 reais"
"macbook pro","Chile","https://listado.mercadolibre.cl/macbook-pro-13#D[A:macbook%20pro%2013]","Macbook Pro 13'' Procesador Apple M1 (8 Gb Ram, 256 Gb Ssd)","1199990 pesos"
"macbook pro","Colombia","https://listado.mercadolibre.com.co/macbook-pro-13#D[A:macbook%20pro%2013]","Apple Macbook Pro 13 Chip M1 256gb Nuevo Sellado","5669900 pesos"
"macbook pro","Costa Rica","https://listado.mercadolibre.co.cr/macbook-pro-13#D[A:macbook%20pro%2013]","Estuches Protector Macbook Pro 16 / Macbook Air 13 / Pro 13","20000 undefined"
"macbook pro","Dominicana","https://listado.mercadolibre.com.do/macbook-pro-13#D[A:macbook%20pro%2013]","Macbook Pro 13 2020 M1 8gb Ram 512gb Ssd Stock Disponible!!!","64500 pesos"
"macbook pro","Ecuador","https://listado.mercadolibre.com.ec/macbook-pro-13#D[A:macbook%20pro%2013]","Macbook Pro 13 2020 | 256gb | Apple M1 | 8gb Ram","1647 dólares"
"macbook pro","Guatemala","https://listado.mercadolibre.com.gt/macbook-pro-13#D[A:macbook%20pro%2013]","Apple Macbook Air 13","2800 quetzal guatemaltecos"
"macbook pro","Honduras","https://listado.mercadolibre.com.hn/macbook-pro-13#D[A:macbook%20pro%2013]","Available Macbooks Pro 15-inch 2019 Laptop","600 dólares"
"macbook pro","México","https://listado.mercadolibre.com.mx/macbook-pro-13#D[A:macbook%20pro%2013]","Apple Macbook Pro (13 Pulgadas, Touch bar, cuatro puertos Thunderbolt 3, 1 TB de SSD) - Gris espacial","54928 pesos"
"macbook pro","Nicaragua","https://listado.mercadolibre.com.ni/macbook-pro-13#D[A:macbook%20pro%2013]","New 2020 Apple 13 Macbook Air 1.2ghz 7-core Touch 2tb Upgra","750 dólares"
"macbook pro","Panamá","https://listado.mercadolibre.com.pa/macbook-pro-13#D[A:macbook%20pro%2013]","Funda De Teclado Para Macbook Pro","20 undefined"
"macbook pro","Paraguay","https://listado.mercadolibre.com.py/macbook-pro-13#D[A:macbook%20pro%2013]","Applemacbook Pro 13 Inch 2020 M1 Chip 8gb Ram 512gb Ssd","600 dólares"
"macbook pro","Perú","https://listado.mercadolibre.com.pe/macbook-pro-13#D[A:macbook%20pro%2013]","Macbook Pro 13 2020 M1 8gb Ram 512gb Ssd Stock Disponible!!!","7199 soles"
"macbook pro","El Salvador","https://listado.mercadolibre.com.sv/macbook-pro-13#D[A:macbook%20pro%2013]","Apple Macbook Pro 13 2020 1.4/3.9ghz Intel Core I5 8gb","600 dólares"
"macbook pro","Uruguay","https://listado.mercadolibre.com.uy/macbook-pro-13#D[A:macbook%20pro%2013]","Apple Macbook Pro (16 pulgadas, Intel Core i7, 512 GB de SSD, 16 GB de RAM, AMD Radeon Pro 5300M) - Gris espacial","3659 dólares"
"macbook pro","Venezuela","https://listado.mercadolibre.com.ve/macbook-pro-13#D[A:macbook%20pro%2013]","Laptop Macbook Pro 13 Touch Bar 2020 16ram 512ssd Mci","1649 dólares"
"iphone","Argentina","https://listado.mercadolibre.com.ar/iphone-11-512#D[A:iphone%2011%20512]","iPhone 11 Pro 512 GB Gris espacial","299999 pesos"
"iphone","Bolivia","https://listado.mercadolibre.com.bo/iphone-11-512#D[A:iphone%2011%20512]","iPhone 11 Pro Max - 512gb","450 dólares"
"iphone","Brasil","https://lista.mercadolivre.com.br/iphone-11-512#D[A:iphone%2011%20512]","Apple iPhone 11 (256 GB) - Branco","5482 reais"
"iphone","Chile","https://listado.mercadolibre.cl/iphone-11-512#D[A:iphone%2011%20512]","iPhone 11 Pro Max 512gb Reacondicionado","790000 pesos"
"iphone","Colombia","https://listado.mercadolibre.com.co/iphone-11-512#D[A:iphone%2011%20512]","iPhone 11 Pro 64 GB plata","3799900 pesos"
"iphone","Costa Rica","https://listado.mercadolibre.co.cr/iphone-11-512#D[A:iphone%2011%20512]","Todo Nuevo! Apple iPhone 11, 12, 12 Pro, 11 Pro Max 512gb","900 dólares"
"iphone","Dominicana","https://listado.mercadolibre.com.do/iphone-11-512#D[A:iphone%2011%20512]","iPhone 11 Pro Max De 512 Gb Factory 849-763-2838","28000 pesos"
"iphone","Ecuador","https://listado.mercadolibre.com.ec/iphone-11-512#D[A:iphone%2011%20512]","iPhone 12 Pro Max/iPhone 11 Pro Max Todas Las Versiones","710 dólares"
"iphone","Guatemala","https://listado.mercadolibre.com.gt/iphone-11-512#D[A:iphone%2011%20512]","Celular Libre Apple iPhone 11 Pro Max 512gb Nuevo","4000 quetzal guatemaltecos"
"iphone","Honduras","https://listado.mercadolibre.com.hn/iphone-11-512#D[A:iphone%2011%20512]","iPhone 11 Pro Max 512gb","10065 lempiras"
"iphone","México","https://listado.mercadolibre.com.mx/iphone-11-512#D[A:iphone%2011%20512]","Apple iPhone 12 Pro (128 GB) - Grafito","27399 pesos"
"iphone","Nicaragua","https://listado.mercadolibre.com.ni/iphone-11-512#D[A:iphone%2011%20512]","Apple iPhone 11 512gb","270 dólares"
"iphone","Panamá","https://listado.mercadolibre.com.pa/iphone-11-512#D[A:iphone%2011%20512]","Apple iPhone 11 Pro 256gb Unlocked, 12m Garantia- Promo 2021","600 dólares"
"iphone","Paraguay","https://listado.mercadolibre.com.py/iphone-11-512#D[A:iphone%2011%20512]","Nuevo Apple iPhone 11 Pro Max 512gb - Space Grey (unlocked)","500 dólares"
"iphone","Perú","https://listado.mercadolibre.com.pe/iphone-11-512#D[A:iphone%2011%20512]","Apple iPhone 11 Pro 512 Gb","1400 soles"
"iphone","El Salvador","https://listado.mercadolibre.com.sv/iphone-11-512#D[A:iphone%2011%20512]","Celular Apple iPhone 11 Pro Max - 256gb - Plateado (desbloqu","450 dólares"
"iphone","Uruguay","https://listado.mercadolibre.com.uy/iphone-11-512#D[A:iphone%2011%20512]","iPhone 11 Pro Max| 64 Gb | Sellado | Garantia | Flyapple","2030 dólares"
"iphone","Venezuela","https://listado.mercadolibre.com.ve/iphone-11-512#D[A:iphone%2011%20512]","iPhone 11 Pro 256 Gb Nuevos Liberados","650 dólares"
"bmw s1000rr","Argentina","https://listado.mercadolibre.com.ar/bmw-s1000rr#D[A:bmw%20s1000rr]","Bmw S1000rr M 2021 0km Entrega Inmediata Hobbycer Bikes","48000 dólares"
"bmw s1000rr","Bolivia","https://listado.mercadolibre.com.bo/bmw-s1000rr#D[A:bmw%20s1000rr]","2020 Bmw S 1000 R Light White / Racing Blue / Racing Red","5000 dólares"
"bmw s1000rr","Brasil","https://lista.mercadolivre.com.br/bmw-s1000rr#D[A:bmw%20s1000rr]","Bmw S1000rr Premium","66990 reais"
"bmw s1000rr","Chile","https://listado.mercadolibre.cl/bmw-s1000rr#D[A:bmw%20s1000rr]","Logo De La Placa Lateral De La Motocicleta Bmw S1000rr Hp4","24247 pesos"
"bmw s1000rr","Colombia","https://listado.mercadolibre.com.co/bmw-s1000rr#D[A:bmw%20s1000rr]","Bmw S1000rr 2010, Papeles Nuevos, Recibo Vehículo!!!!","39900000 pesos"
"bmw s1000rr","Costa Rica","https://listado.mercadolibre.co.cr/bmw-s1000rr#D[A:bmw%20s1000rr]","Bmw Mercedes Llaves Chip Airbag Ews Cas Modulos","62000 undefined"
"bmw s1000rr","Dominicana","https://listado.mercadolibre.com.do/bmw-s1000rr#D[A:bmw%20s1000rr]","Tenis Puma Bmw M Motorsport Drift Cat 5 Nm Men's Shoes","110 dólares"
"bmw s1000rr","Ecuador","https://listado.mercadolibre.com.ec/bmw-s1000rr#D[A:bmw%20s1000rr]","Motores A Diesel Y A Gasolina 3/4 7/8 Audi Bmw Chevrolet Kia","1700 dólares"
"bmw s1000rr","Guatemala","https://listado.mercadolibre.com.gt/bmw-s1000rr#D[A:bmw%20s1000rr]","Vendo Llantas Nuevas Rin 14, 205/70r14 Bmw, Ford, Toyota","562 quetzal guatemaltecos con 24 centavos"
"bmw s1000rr","Honduras","https://listado.mercadolibre.com.hn/bmw-s1000rr#D[A:bmw%20s1000rr]","",
"bmw s1000rr","México","https://listado.mercadolibre.com.mx/bmw-s1000rr#D[A:bmw%20s1000rr]","Bmw S1000rr S 1000 Rr 1000rr Rines Forjados 2016 Motomaniaco","238000 pesos"
"bmw s1000rr","Nicaragua","https://listado.mercadolibre.com.ni/bmw-s1000rr#D[A:bmw%20s1000rr]","",
"bmw s1000rr","Panamá","https://listado.mercadolibre.com.pa/bmw-s1000rr#D[A:bmw%20s1000rr]","Vendo 1 Rin De Bmw 318i Año 1999, #16, 5 Huecos De Aluminio","52 undefined"
"bmw s1000rr","Paraguay","https://listado.mercadolibre.com.py/bmw-s1000rr#D[A:bmw%20s1000rr]","Sony Pmw-ex1 Xdcam Hd Ex-1 Sxs Professional Camcorder","4435590 guaraníes"
"bmw s1000rr","Perú","https://listado.mercadolibre.com.pe/bmw-s1000rr#D[A:bmw%20s1000rr]","Bmw C400x","9000 dólares"
"bmw s1000rr","El Salvador","https://listado.mercadolibre.com.sv/bmw-s1000rr#D[A:bmw%20s1000rr]","Bmw S1000rr","3700 dólares"
"bmw s1000rr","Uruguay","https://listado.mercadolibre.com.uy/bmw-s1000rr#D[A:bmw%20s1000rr]","Juego De Barra Suspension Delantera Bmw S1000rr Usada","38000 pesos"
"bmw s1000rr","Venezuela","https://listado.mercadolibre.com.ve/bmw-s1000rr#D[A:bmw%20s1000rr]","Filtro De Aire K & N Moto Bmw S1000rr; 2009 - 2019","65 dólares"
"alexa echo","Argentina","https://listado.mercadolibre.com.ar/alexa-echo-4#D[A:alexa%20echo%204]","Amazon Echo Dot 4th Gen con asistente virtual Alexa glacier white 110V/240V","9521 pesos"
"alexa echo","Bolivia","https://listado.mercadolibre.com.bo/alexa-echo-4#D[A:alexa%20echo%204]","Home Fan Assault Air Echo Bike, Club Commercial Gym Master E","400 dólares"
"alexa echo","Brasil","https://lista.mercadolivre.com.br/alexa-echo-4#D[A:alexa%20echo%204]","Echo Dot Amazon Smart Speaker (4ª Geração) Com Alexa","334 reais con 31 centavos"
"alexa echo","Chile","https://listado.mercadolibre.cl/alexa-echo-4#D[A:alexa%20echo%204]","Amazon Echo Show 5 1st Gen con asistente virtual Alexa, pantalla integrada de 5.5&dquo; charcoal 110V/240V","68990 pesos"
"alexa echo","Colombia","https://listado.mercadolibre.com.co/alexa-echo-4#D[A:alexa%20echo%204]","Amazon Echo Dot 4th Gen con asistente virtual Alexa charcoal 110V/240V","209900 pesos"
"alexa echo","Costa Rica","https://listado.mercadolibre.co.cr/alexa-echo-4#D[A:alexa%20echo%204]","Amazon Echo Dot 4 Generacion / Alexa / Tienda Fisica","39500 undefined"
"alexa echo","Dominicana","https://listado.mercadolibre.com.do/alexa-echo-4#D[A:alexa%20echo%204]","Echo Dot (4ª Generación) | Altavoz Inteligente Con Alexa, Va","3300 pesos"
"alexa echo","Ecuador","https://listado.mercadolibre.com.ec/alexa-echo-4#D[A:alexa%20echo%204]","Amazon Echo Dot 3ra 4ta Show Alexa Auto Inc. I V A","44 dólares con 99 centavos"
"alexa echo","Guatemala","https://listado.mercadolibre.com.gt/alexa-echo-4#D[A:alexa%20echo%204]","Especialmente Echo Para El Cuidado Personal ¿","150 quetzal guatemaltecos"
"alexa echo","Honduras","https://listado.mercadolibre.com.hn/alexa-echo-4#D[A:alexa%20echo%204]","",
"alexa echo","México","https://listado.mercadolibre.com.mx/alexa-echo-4#D[A:alexa%20echo%204]","Amazon Echo Dot 4th Gen con asistente virtual Alexa charcoal 110V/240V","1149 pesos"
"alexa echo","Nicaragua","https://listado.mercadolibre.com.ni/alexa-echo-4#D[A:alexa%20echo%204]","",
"alexa echo","Panamá","https://listado.mercadolibre.com.pa/alexa-echo-4#D[A:alexa%20echo%204]","Nuevo Ring Video Doorbell Pro Con Echo Dot (3.a Generación)","120 dólares"
"alexa echo","Paraguay","https://listado.mercadolibre.com.py/alexa-echo-4#D[A:alexa%20echo%204]","Amazon Echos Dot 4th 3rd Generation Smart Speaker With Clock","35 dólares"
"alexa echo","Perú","https://listado.mercadolibre.com.pe/alexa-echo-4#D[A:alexa%20echo%204]","Alexa Echo Dot 4 2021 Parlante Asistente De Voz Smart Amazon","249 soles"
"alexa echo","El Salvador","https://listado.mercadolibre.com.sv/alexa-echo-4#D[A:alexa%20echo%204]","",
"alexa echo","Uruguay","https://listado.mercadolibre.com.uy/alexa-echo-4#D[A:alexa%20echo%204]","Amazon Echo Dot 4th Gen con asistente virtual Alexa charcoal 110V/240V","64 dólares"
"alexa echo","Venezuela","https://listado.mercadolibre.com.ve/alexa-echo-4#D[A:alexa%20echo%204]","Echo Dot Alexa 4ta Generacion Amazon Parlante Inteligente","60 dólares"
